entity_code,entity,indicator_code,reference_year,vintage,value,unit,source_url
KOR,"Korea, Rep.",SP.POP.TOTL,2023,2025-01-28,51712619.0,people,https://databank.worldbank.org/data/download/Archive/WDI_excel_2025_01_28.zip
KOR,"Korea, Rep.",SP.POP.TOTL,2023,2025-07-02,51712619.0,people,https://databank.worldbank.org/data/download/Archive/WDI_excel_2025_07_02.zip
