page,query,date,clicks,impressions,ctr,position
https://worlddiscoverydata.com/indicators/internet-use/country/deu/,internet use germany,2026-08-25,2,200,0.01,8
https://worlddiscoverydata.com/indicators/internet-use/country/fra/,internet users france,2026-08-25,1,50,0.02,6
