entity_code,entity,indicator_code,reference_year,vintage,value,unit,source_url
USA,United States,SP.POP.TOTL,2023,2025-01-28,334914895.0,people,https://databank.worldbank.org/data/download/Archive/WDI_excel_2025_01_28.zip
USA,United States,SP.POP.TOTL,2023,2025-07-02,336806231.0,people,https://databank.worldbank.org/data/download/Archive/WDI_excel_2025_07_02.zip
