entity_code,entity,indicator_code,reference_year,vintage,value,unit,source_url
ITA,Italy,SP.POP.TOTL,2023,2025-01-28,58993475.0,people,https://databank.worldbank.org/data/download/Archive/WDI_excel_2025_01_28.zip
ITA,Italy,SP.POP.TOTL,2023,2025-07-02,58993475.0,people,https://databank.worldbank.org/data/download/Archive/WDI_excel_2025_07_02.zip
