entity_code,entity,indicator_code,reference_year,vintage,value,unit,source_url,archive_file,archive_sha256,archive_bytes
JPN,Japan,SP.POP.TOTL,2023,2025-01-28,124516650.0,people,https://databank.worldbank.org/data/download/Archive/WDI_excel_2025_01_28.zip,WDIEXCEL.xlsx,7ff8c66e5a074a4a0f923cd603ff0d5fee5b043406f90c6fc9ae34c0fb5bfd60,78775530
JPN,Japan,SP.POP.TOTL,2023,2025-07-02,124516650.0,people,https://databank.worldbank.org/data/download/Archive/WDI_excel_2025_07_02.zip,WDIEXCEL.xlsx,b33fef211eeebaa43f668f822e7825ea737d7ffada1787d495ee042b4821eaf3,80658288
