entity_code,entity,indicator_code,reference_year,vintage,value,unit,source_url
GBR,United Kingdom,SP.POP.TOTL,2023,2025-01-28,68350000.0,people,https://databank.worldbank.org/data/download/Archive/WDI_excel_2025_01_28.zip
GBR,United Kingdom,SP.POP.TOTL,2023,2025-07-02,68492000.0,people,https://databank.worldbank.org/data/download/Archive/WDI_excel_2025_07_02.zip
